Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2014,December,4 Western, Moyne,645,3906.3
2014,December,4 Western, Northern Grampians,936,7947.7
2014,December,4 Western, Pyrenees,451,6399.9
2014,December,4 Western, Queenscliffe,126,4242.4
2014,December,4 Western, Southern Grampians,953,5862.8
2014,December,4 Western, Surf Coast,1411,4886.7
2014,December,4 Western, Swan Hill,2197,10491.9
2014,December,4 Western, Warrnambool,3002,8900.4
2014,December,4 Western, West Wimmera,194,4804.4
2014,December,4 Western, Yarriambiack,355,5127.1
2014,December,4 Western,Total,72738,7750.3
2014,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,955,
2014,December,Justice Institutions and Immigration Facilities,Total,955,
2014,December,Unincorporated Vic, Unincorporated Vic,116,
2014,December,Unincorporated Vic,Total,116,
2013,December,1 North West Metro, Banyule,9512,7651.6
2013,December,1 North West Metro, Brimbank,19338,9857.8
2013,December,1 North West Metro, Darebin,12267,8329.5
2013,December,1 North West Metro, Hobsons Bay,6672,7480.8
2013,December,1 North West Metro, Hume,15313,8283
2013,December,1 North West Metro, Maribyrnong,8514,10671.6
2013,December,1 North West Metro, Melbourne,32477,27358
2013,December,1 North West Metro, Melton,8962,7231.2
2013,December,1 North West Metro, Moonee Valley,7662,6635.8
2013,December,1 North West Metro, Moreland,12057,7522.4
2013,December,1 North West Metro, Nillumbik,2167,3430.2
2013,December,1 North West Metro, Whittlesea,12900,7195.8
